Time_stamp,Original_load_kw,Net_load_w_ESS_kw,ESS_injection_kw
2017-01-05T001500,293.2093644,278.7101761,-14.49918827
2017-01-05T003000,300.9269549,286.1487348,-14.77822011
2017-01-05T004500,298.1410107,283.2127844,-14.9282263
2017-01-05T010000,292.218913,277.6318293,-14.58708367
2017-01-05T011500,292.5611917,283.1825761,-9.378615582
2017-01-05T013000,293.9356741,287.8647018,-6.070972309
2017-01-05T014500,291.2942728,279.1403448,-12.15392798
2017-01-05T020000,276.8,272.861518,-3.938482005
2017-01-05T021500,283.0924777,282.0844388,-1.008038926
2017-01-05T023000,280,279.9836187,-0.016381321
2017-01-05T024500,281.2245246,274.953433,-6.271091644
2017-01-05T030000,273.6,273.9697225,0.369722494
2017-01-05T031500,276.9925948,277.4009936,0.40839879
2017-01-05T033000,279.8998662,279.6404777,-0.259388459
2017-01-05T034500,281.6,281.4419238,-0.158076223
2017-01-05T040000,276.7742881,283.7508926,6.976604454
2017-01-05T041500,275.2,281.4977703,6.297770299
2017-01-05T043000,264,266.3621128,2.362112799
2017-01-05T044500,272,272.2364518,0.236451767
2017-01-05T050000,257.9910334,258.208043,0.217009559
2017-01-05T051500,253.1630806,253.5947228,0.431642198
2017-01-05T053000,255.9345552,256.2681927,0.333637454
2017-01-05T054500,257.6,257.9991384,0.399138393
2017-01-05T060000,262.4,262.6397025,0.239702541
2017-01-05T061500,256,256.5610305,0.56103051
2017-01-05T063000,252.8,252.8,0
2017-01-05T064500,251.2,251.2346258,0.03462584
2017-01-05T070000,259.2,259.2935053,0.093505297
2017-01-05T071500,248,250.2000573,2.200057318
2017-01-05T073000,284.8,281.4063184,-3.393681561
2017-01-05T074500,291.2751886,286.2149659,-5.060222653
2017-01-05T080000,294.6433492,291.6613342,-2.982014986
2017-01-05T081500,297.6,291.4661856,-6.133814375
2017-01-05T083000,272,277.7736457,5.773645678
2017-01-05T084500,260.6225089,277.7095239,17.08701499
2017-01-05T090000,232.0558257,249.1239448,17.06811908
2017-01-05T091500,245.8910035,262.770895,16.87989155
2017-01-05T093000,244.9278502,261.5989429,16.6710927
2017-01-05T094500,241.1664546,257.8094928,16.64303821
2017-01-05T100000,243.6714133,260.2446312,16.57321788
2017-01-05T101500,233.8289457,250.3526529,16.52370719
2017-01-05T103000,230.7174312,247.251374,16.53394278
2017-01-05T104500,238.4,255.1085863,16.70858629
2017-01-05T110000,228.8,245.9134977,17.1134977
2017-01-05T111500,235.2,252.2133366,17.01333663
2017-01-05T113000,235.2,252.2922841,17.09228414
2017-01-05T114500,236.8,253.9225465,17.1225465
2017-01-05T120000,232,249.1229529,17.12295286
2017-01-05T121500,233.6,250.1645413,16.56454126
2017-01-05T123000,224,240.7710381,16.77103814
2017-01-05T124500,232,248.5653199,16.56531986
2017-01-05T130000,249.6,266.3633441,16.76334411
2017-01-05T131500,257.6,274.6847619,17.08476189
2017-01-05T133000,249.6,266.8904398,17.29043981
2017-01-05T134500,259.2,275.8583381,16.65833813
2017-01-05T140000,257.6,274.4541974,16.85419743
2017-01-05T141500,262.4,279.14102,16.74102004
2017-01-05T143000,270.4,285.5181041,15.11810406
2017-01-05T144500,273.6,285.8810413,12.2810413
2017-01-05T150000,264,278.5507591,14.55075905
2017-01-05T151500,264,274.5369425,10.5369425
2017-01-05T153000,272,280.3166749,8.316674888
2017-01-05T154500,275.2,282.5138738,7.313873751
2017-01-05T160000,283.2,289.5814788,6.381478771
2017-01-05T161500,270.4,274.3548711,3.954871086
2017-01-05T163000,280,285.8380323,5.838032255
2017-01-05T164500,281.6,283.9976102,2.397610173
2017-01-05T170000,283.2,285.0682267,1.868226657
2017-01-05T171500,283.2,283.2,0
2017-01-05T173000,286.4,281.9385666,-4.461433443
2017-01-05T174500,288,282.3611419,-5.638858147
2017-01-05T180000,291.2,288.1462613,-3.053738701
2017-01-05T181500,286.4,282.5957448,-3.804255225
2017-01-05T183000,284.8428238,279.3498926,-5.492931171
2017-01-05T184500,286.5503003,281.3597468,-5.190553515
2017-01-05T190000,289.6,284.8705955,-4.729404503
2017-01-05T191500,289.6,284.9460637,-4.653936303
2017-01-05T193000,283.2,277.2846314,-5.915368633
2017-01-05T194500,291.2,288.0129673,-3.187032724
2017-01-05T200000,278.4,271.5558284,-6.844171562
2017-01-05T201500,270.4,259.7912565,-10.60874348
2017-01-05T203000,284.8,270.9818418,-13.81815819
2017-01-05T204500,299.0513041,285.8775359,-13.17376819
2017-01-05T210000,296,284.2116844,-11.78831562
2017-01-05T211500,288.4076575,274.3768984,-14.03075908
2017-01-05T213000,298.2674152,286.2996168,-11.96779845
2017-01-05T214500,298.715647,282.4935797,-16.22206731
2017-01-05T220000,310.846707,294.6525448,-16.19416219
2017-01-05T221500,298.4819263,280.0214268,-18.46049952
2017-01-05T223000,296.0578053,278.4601604,-17.59764492
2017-01-05T224500,297.7456911,280.4913633,-17.25432783
2017-01-05T230000,293.3424348,275.8360721,-17.50636269
2017-01-05T231500,296.0087528,276.7860079,-19.22274488
2017-01-05T233000,302.8359413,282.8251329,-20.01080843
2017-01-05T234500,297.6867778,277.2109526,-20.47582518
2017-01-06T000000,301.9299942,288.5304833,-13.39951091
2017-01-06T001500,295.1065454,281.7271292,-13.37941623
2017-01-06T003000,297.6,284.0231421,-13.57685787
2017-01-06T004500,302.6400072,289.0298402,-13.610167
2017-01-06T010000,294.2702784,282.0449065,-12.22537187
2017-01-06T011500,293.5011821,284.3491367,-9.152045437
2017-01-06T013000,289.6032072,280.9080851,-8.695122141
2017-01-06T014500,297.9198826,290.4847863,-7.435096324
2017-01-06T020000,288.7634556,283.7720814,-4.991374153
2017-01-06T021500,276.8,271.7845357,-5.015464252
2017-01-06T023000,291.2,290.452485,-0.747514958
2017-01-06T024500,299.2,294.9306209,-4.269379099
2017-01-06T030000,278.4,279.7008682,1.300868226
2017-01-06T031500,288,291.6701405,3.670140462
2017-01-06T033000,281.6,283.1455271,1.545527078
2017-01-06T034500,291.2,295.8095077,4.609507733
2017-01-06T040000,288,291.3128098,3.312809793
2017-01-06T041500,278.4,287.4528971,9.052897111
2017-01-06T043000,281.6,289.8289999,8.228999866
2017-01-06T044500,276.8,280.6868514,3.886851392
2017-01-06T050000,267.2,267.2,0
2017-01-06T051500,264,264,0
2017-01-06T053000,267.2,267.2,0
2017-01-06T054500,272,272,0
2017-01-06T060000,267.2,267.2,0
2017-01-06T061500,268.8,268.8,0
2017-01-06T063000,267.2,263.7492024,-3.450797639
2017-01-06T064500,267.2,263.7570957,-3.442904342
2017-01-06T070000,260.8,257.2366454,-3.563354649
2017-01-06T071500,264,259.9975351,-4.002464879
2017-01-06T073000,291.2,289.1923641,-2.007635926
2017-01-06T074500,296.1976968,288.5410984,-7.656598436
2017-01-06T080000,299.9457476,290.9661538,-8.979593799
2017-01-06T081500,308.8331501,299.9601626,-8.872987549
2017-01-06T083000,275.9416797,275.9416797,0
2017-01-06T084500,269.2726601,285.2574677,15.98480762
2017-01-06T090000,250.1380532,271.9529932,21.81494004
2017-01-06T091500,254.4108617,276.2679398,21.85707814
